"Group Cards","Regrouper les cartes"
"Group credit and debit cards under one single button on the checkout page","Regrouper les cartes de crédit et de débit sous un bouton de paiement unique sur la page de checkout"
"Process Mealvouchers","Processus Mealvouchers"
"By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'","EN activant les chèques-repas, vous aurez la possibilité de configurer vos produits en tant que 'Food and Drink', 'Home and Garden', ou 'Gift and Flowers'. Notez simplement que la plateforme Worldline n'autorise qu'un seul type de produits par panier, et le plugin mettra automatiquement à jour les produits du panier auxquels il manque un type de produit à la valeur reconnue dans le panier ; en cas de panier mixte tous les produits seront réglés sur 'Food and Drink'"
"Please go to an ATM to validate the Multibanco payment.","Merci de vous rendre dans un guichet automatique afin de valider le paiement Multibanco."
