"Group Cards","Group Cards"
"Group credit and debit cards under one single button on the checkout page","Group credit and debit cards under one single button on the checkout page"
"Process Mealvouchers","Process Mealvouchers"
"By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'","By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'"
"Please go to an ATM to validate the Multibanco payment.","Please go to an ATM to validate the Multibanco payment."
